Q3;Q5;Q8;Q6;Q7;Q9;Q10;Q12_1;Q12_2;Q12_3;Q12_4;Q12_5;Q12_6;Q12_7;Q12_8;Q12_9;Q12_10;Q12_11;Q12_12;Q12_13;DATASET
24;1;3;1;Psychologii;1;IT;1;0;1;1;1;0;0;0;0;1;2;2;1;0
25;1;3;1;Žurnalistiku;1;Barista;1;0;0;0;1;0;1;0;0;1;1;1;1;0
21;2;3;1;Psychologie;1;Gastronomie;2;0;1;2;1;1;0;0;0;0;1;0;3;0
30;1;4;1;NA;2;NA;1;1;0;3;0;0;0;0;0;0;1;1;0;0
22;2;3;1;Všeobecné lékařství ;1;Zdravotnický;1;1;1;0;0;1;1;0;0;0;0;0;0;0
22;2;3;1;Sociologie ;2;NA;2;2;1;2;1;1;1;0;1;0;2;2;2;0
24;1;5;1;Severoamerická studia - IMS FSV UK;1;Obsluha kavárny/baru;3;2;2;3;2;2;3;0;1;1;2;3;3;0
38;2;5;2;NA;1;V neziskovém sektoru;2;0;2;2;2;2;2;1;1;1;1;0;0;0
27;1;5;1;Teorie interaktivních médií;1;Knihkupec - prodavač;1;1;0;1;1;2;2;1;0;1;0;2;1;0
20;1;3;1;Geografie a kartografie ;2;NA;1;0;0;1;0;0;1;0;2;1;2;3;1;0
22;2;3;1;Informační technologie ;1;Informační technologie ;0;1;0;1;0;0;0;0;1;0;0;1;1;0
17;1;1;1;truhlář;2;NA;2;1;1;1;1;2;2;0;0;0;1;2;2;0
24;2;6;2;NA;1; Cestovny ruch;1;1;1;2;1;2;1;0;0;0;1;2;2;0
30;1;6;2;NA;1;Chemie materiálů;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;2;5;1;Psychologie ;1;Psychologie (výzkum) ((part-time));1;1;1;1;2;1;2;2;1;0;1;1;1;0
45;1;6;2;NA;1;Zeměměřič;1;0;0;0;0;0;0;0;0;0;1;1;1;0
39;2;6;2;NA;1;ekologické zemědělství;3;2;1;1;3;1;3;1;1;1;3;3;3;0
24;1;5;1;Komunikace ;2;NA;0;2;2;0;2;1;3;1;0;0;0;0;1;0
25;2;6;1;Všeobecné lékařství;2;NA;1;0;0;0;0;0;0;0;0;0;1;1;0;0
